hora,ruta,info_ruta
8:01 a. m.,vereda-brisas sentido-desde-medellin,"Salida Medellín: 8:01 a. m., Llegada Silletero: 8:41 a. m."
8:09 a. m.,vereda-brisas sentido-desde-medellin,"Salida Medellín: 8:09 a. m., Llegada Silletero: 8:49 a. m."
8:25 a. m.,vereda-brisas sentido-desde-medellin,"Salida Medellín: 8:25 a. m., Llegada Silletero: 9:05 a. m."
8:49 a. m.,vereda-brisas sentido-desde-medellin,"Salida Medellín: 8:49 a. m., Llegada Silletero: 9:29 a. m."
9:08 a. m.,vereda-brisas sentido-a-medellin,"Salida Brisas: 9:08 a. m., Llegada Medellín: 9:53 a. m."
9:01 a. m.,vereda-brisas sentido-desde-medellin,"Salida Medellín: 9:01 a. m., Llegada Silletero: 9:37 a. m."
9:21 a. m.,vereda-brisas sentido-desde-medellin,"Salida Medellín: 9:21 a. m., Llegada Silletero: 9:53 a. m."
9:29 a. m.,vereda-brisas sentido-desde-medellin,"Salida Medellín: 9:29 a. m., Llegada Silletero: 10:09 a. m."
9:45 a. m.,vereda-brisas sentido-desde-medellin,"Salida Medellín: 9:45 a. m., Llegada Silletero: 10:25 a. m."
1:00 p. m.,vereda-brisas sentido-a-medellin,"Salida Brisas: 1:00 p. m., Llegada Medellín: 1:45 p. m."
1:08 p. m.,vereda-brisas sentido-a-medellin,"Salida Brisas: 1:08 p. m., Llegada Medellín: 1:53 p. m."
1:48 p. m.,vereda-brisas sentido-a-medellin,"Salida Brisas: 1:48 p. m., Llegada Medellín: 2:33 p. m."
2:04 p. m.,vereda-brisas sentido-a-medellin,"Salida Brisas: 2:04 p. m., Llegada Medellín: 2:49 p. m."
2:12 p. m.,vereda-brisas sentido-a-medellin,"Salida Brisas: 2:12 p. m., Llegada Medellín: 2:57 p. m."
2:28 p. m.,vereda-brisas sentido-a-medellin,"Salida Brisas: 2:28 p. m., Llegada Medellín: 3:13 p. m."
2:44 p. m.,vereda-brisas sentido-a-medellin,"Salida Brisas: 2:44 p. m., Llegada Medellín: 3:29 p. m."
3:08 p. m.,vereda-brisas sentido-a-medellin,"Salida Brisas: 3:08 p. m., Llegada Medellín: 3:53 p. m."
3:16 p. m.,vereda-brisas sentido-a-medellin,"Salida Brisas: 3:16 p. m., Llegada Medellín: 4:01 p. m."
3:48 p. m.,vereda-brisas sentido-a-medellin,"Salida Brisas: 3:48 p. m., Llegada Medellín: 4:33 p. m."
4:09 p. m.,vereda-brisas sentido-a-medellin,"Salida Brisas: 4:09 p. m., Llegada Medellín: 4:54 p. m."
4:23 p. m.,vereda-brisas sentido-a-medellin,"Salida Brisas: 4:23 p. m., Llegada Medellín: 5:08 p. m."
4:37 p. m.,vereda-brisas sentido-a-medellin,"Salida Brisas: 4:37 p. m., Llegada Medellín: 5:22 p. m."
4:51 p. m.,vereda-brisas sentido-a-medellin,"Salida Brisas: 4:51 p. m., Llegada Medellín: 5:36 p. m."
5:05 p. m.,vereda-brisas sentido-a-medellin,"Salida Brisas: 5:05 p. m., Llegada Medellín: 5:50 p. m."
5:37 p. m.,vereda-brisas sentido-a-medellin,"Salida Brisas: 5:37 p. m., Llegada Medellín: 6:22 p. m."
